;Common_name;Scientific_name;Former_genus;Biome;Food;Foraging_site;Nest_type;Nest_site;Nest_parasitation;Notes;superficy;upperalt;loweralt;movement
472;Oriental Turtle-dove;Streptopelia orientalis;NA;Forest - Boreal & Artificial/Terrestrial - Urban Areas & Forest - Subtropical/Tropical Dry;;;;;;;16500000;4000;NA;Migratory
473;Red-eyed Dove;Streptopelia semitorquata;NA;Artificial/Terrestrial - Urban Areas & Forest - Subtropical/Tropical Moist Lowland & Savanna - Dry;;;;;;;26000000;2100;200;Migratory
474;Spotted Owl;Strix occidentalis;NA;Forest - Temperate;;;;;;;3920000;2700;0;Resident
475;Red-breasted meadowlark;Sturnella militaris;NA;Artificial/Terrestrial - Arable Land & Artificial/Terrestrial - Pastureland;;;;;;;NA;NA;NA;NA
476;African hill babbler;Sylvia abyssinica;Pseudoalcippe abyssinica;Forest - Subtropical/Tropical Moist Montane;;;;;;;NA;NA;NA;NA
477;Eurasian Blackcap;Sylvia atricapilla;NA;Forest - Temperate;;;;;;;27800000;2200;NA;Migratory
478;Garden Warbler;Sylvia borin;NA;Forest - Temperate & Shrubland - Temperate;;;;;;;14700000;2300;NA;Migratory
479;Tree Swallow;Tachycineta bicolor;NA;Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)  & Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands & Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha);;;;;;;8340000;50;NA;Migratory
480;White-lined Tanager;Tachyphonus rufus;NA;Forest - Subtropical/Tropical Dry & Savanna - Dry;;;;;;;15500000;1500;NA;Resident
481;Ruddy Shelduck;Tadorna ferruginea;NA;Grassland - Subtropical/Tropical Seasonally Wet/Flooded & Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) & Wetlands (inland) - Permanent Freshwater Lakes (over 8ha);;;;;;;37900000;NA;NA;Migratory
482;Orange-flanked Bush-robin;Tarsiger cyanurus;(Luscinia cyanura);Forest - Boreal;Omnivorous;Ground and Shrub;Open;Ground and Tree;NA;;NA;NA;NA;NA
483;Knysna Turaco;Tauraco corythaix;NA;Forest - Subtropical/Tropical Moist Lowland;;;;;;;497000;1800;NA;Resident
484;Brown-crowned Tchagra;Tchagra australis;NA;Savanna - Dry & Shrubland - Subtropical/Tropical Dry;;;;;;;15100000;2500;NA;Resident
485;African Paradise-flycatcher;Terpsiphone viridis;NA;Savanna - Dry;;;;;;;25000000;2500;NA;Migratory
486;Western Capercaillie;Tetrao urogallus;NA;Forest - Temperate & Forest - Boreal;;;;;;;21700000;NA;NA;Resident
487;Mocking Cliff-chat;Thamnolaea cinnamomeiventris;NA;Savanna - Dry & Rocky areas (eg. inland cliffs, mountain peaks);;;;;;;21300000;2440;NA;Resident
488;Saturnine Antshrike;Thamnomanes saturninus;NA;Forest - Subtropical/Tropical Moist Lowland;;;;;;;2040000;650;NA;Resident
489;Amazonian Antshrike;Thamnophilus amazonicus;NA;Forest - Subtropical/Tropical Moist Lowland & Forest - Subtropical/Tropical Swamp;;;;;;;7120000;NA;NA;Resident
490;Variable Antshrike;Thamnophilus caerulescens;NA;Forest - Subtropical/Tropical Moist Montane;;;;;;;10600000;2800;NA;Resident
491;Planalto Slaty Antshrike;Thamnophilus pelzelni;NA;Forest - Subtropical/Tropical Dry & Forest - Subtropical/Tropical Moist Lowland;;;;;;;3320000;1100;400;Resident
492;Plain-winged Antshrike;Thamnophilus schistaceus;NA;Forest - Subtropical/Tropical Moist Lowland & Forest - Subtropical/Tropical Swamp;;;;;;;5160000;1100;NA;Resident
493;Crowned Hornbill;Tockus alboterminatus;NA;Forest - Subtropical/Tropical Moist Lowland;;;;;;;NA;NA;NA;NA
