;Common_name;Scientific_name;Former_genus;Biome;Food;Foraging_site;Nest_type;Nest_site;Nest_parasitation;Notes;superficy;upperalt;loweralt;movement
318;Southern Boubou;Laniarius ferrugineus;NA;Forest - Subtropical/Tropical Dry & Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Ground, shrub and tree;Open;Shrub and tree;Yes;Black and Jacobin cuckoo;1490000;NA;NA;Resident
319;Fuelleborn's Boubou;Laniarius fuelleborni;NA;Forest - Subtropical/Tropical Moist Lowland;Insectivorous;Shrub and tree;Open;Shrub;NA;;184000;2800;1170;Resident
320;Red-backed Shrike;Lanius collurio;NA;Artificial/Terrestrial - Pastureland & Shrubland - Temperate;Omnivorous;Ground and Shrub;Open;Shrub;No;;15700000;3200;NA;Migratory
321;European Herring Gull;Larus argentatus;NA;Marine Intertidal - Rocky Shoreline & Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc;Omnivorous;Ground and water;Open;Ground;No;;7180000;2000;NA;Resident
322;Caspian Gull;Larus cachinnans;NA;Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc & Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands;Omnivorous;Ground and water;Open;Ground and Shrub;No;;5820000;NA;NA;Migratory
323;Herring Gull subspecies;Larus smithsonianus mongolicus;unclear classification;Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc & Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands;Omnivorous;Ground and water;Open;Ground and Shrub;No;;NA;NA;NA;NA
324;Japanese Robin ;Larvivora akahige;Erithacus akahige;Forest - Temperate;NA;Ground and Shrub;Open;Ground;NA;;NA;NA;NA;NA
325;Orange-crowned Warbler;Leiothlypis celata;Vermivora celata;Forest - Subtropical/Tropical Moist Lowland & Shrubland - Subarctic ;Insectivorous;Shrub and tree;Open;Ground;Yes;Brown-headed cowbird;NA;NA;NA;NA
326;Tennessee Warbler;Leiothlypis peregrina;NA;Forest - Temperate & Shrubland - Temperate;Omnivorous;Tree;Open;Ground;Yes;Brown-headed cowbird;6110000;NA;NA;Migratory
327;Purple-throated Sunbird;Leptocoma sperata;Nectarinia;Forest - Subtropical/Tropical Moist Lowland & Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level;NA;NA;Open;Shrub;NA;Very few things known about this species;NA;NA;NA;NA
328;Bar-tailed Godwit;Limosa lapponica;NA;Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt) ;Arthropods;Ground;Open;Ground;No;;9050000;440;NA;Migratory
329;Scaly-breasted Munia;Lonchura punctulata;NA;Forest - Subtropical/Tropical Dry & Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Ground, shrub and tree;Closed;Shrub and tree;No;;23000000;NA;NA;Resident
330;African grey hornbill;Lophoceros nasutus;Tockus nasutus;Forest - Subtropical/Tropical Dry & Savanna - Dry;Omnivorous;Ground, shrub and tree;Cavity;Shrub and tree;No;;NA;NA;NA;NA
331;Crested Tit;Lophophanes cristatus;NA;Forest - Temperate;Insectivorous;Shrub and tree;Cavity;Shrub and tree;No;;11600000;2300;NA;Resident
332;Red Crossbill;Loxia curvirostra;NA;Forest - Temperate;Granivore;Ground, shrub and tree;Open;Shrub and tree;No;;129000000;4100;800;Resident
333;Two-barred Crossbill;Loxia leucoptera;NA;Forest - Temperate & Forest - Boreal;Omnivorous;Tree, shrub and ground;Open;Tree;NA;Migratory and resident populations;47700000;NA;NA;Resident
334;Lesser Antillean Bullfinch;Loxigilla noctis;NA;Forest - Subtropical/Tropical Moist Lowland & Shrubland - Subtropical/Tropical Moist;Omnivorous;Shrub and tree;Closed;Shrub;NA;;167000;900;NA;Resident
335;Bluethroat;Cyanecula svecica;Luscinia;Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) & Marine Intertidal - Salt Marshes (Emergent Grasses);Insectivorous;Ground and Shrub;Open;Shrub;No;;NA;NA;NA;NA
336;Black-collared Barbet;Lybius torquatus;NA;Savanna - Dry & Grassland - Subtropical/Tropical Dry & Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls);Omnivorous;Shrub and tree;Cavity;Shrub and tree;Yes;Lesser Honeyguide;7120000;1820;NA;Resident
337;Black Grouse;Lyrurus tetrix;Tetrao tetrix;Forest - Temperate & Forest - Boreal;Omnivorous;Ground and Shrub;Open;Ground, shrub and tree;No;;NA;NA;NA;NA
338;Grey-headed Bush-shrike;Malaconotus blanchoti;NA;Savanna - Dry;Omnivorous;Ground, shrub and tree;Open;Shrub and tree;No;;23000000;NA;NA;Resident
339;Falcated Duck;Mareca falcata;Anas falcata;Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands;Herbivorous;Water and ground;Open;Ground;No;;NA;NA;NA;NA
340;Tropical Screech-owl;Megascops choliba;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Ground;Cavity;Tree;No;;17400000;2800;NA;Resident
341;Western Screech-owl;Megascops kennicottii;NA;Forest - Temperate & Forest - Subtropical/Tropical Dry & Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Ground;Cavity;Tree;No;;7020000;2200;NA;Migratory
342;Pearly Antshrike;Megastictus margaritatus;NA;Forest - Subtropical/Tropical Dry & Forest - Subtropical/Tropical Moist Lowland;Insectivorous;Shrub and tree;Open;Shrub;NA;N nest =1;3410000;1250;NA;Resident
343;Miombo Tit;Melaniparus griseiventris;NA;Savanna - Dry;Insectivorous;Tree;Cavity;Ground and tree;Yes;Lesser Honeyguide;2990000;1950;915;Resident
344;Southern Black Tit;Melaniparus niger;NA;Forest - Subtropical/Tropical Dry & Savanna - Dry;Omnivorous;Tree;Cavity;Shrub and tree;Yes;Greater Honeyguide;3810000;1070;NA;Resident
345;Rufous-bellied Tit;Melaniparus rufiventris;NA;Forest - Subtropical/Tropical Dry & Savanna - Dry;Insectivorous;Tree;Cavity;Shrub and tree;NA;;3340000;2000;600;Resident
346;Lewin's Honeyeater;Meliphaga lewinii;NA;Forest - Temperate & Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Ground, shrub and tree;Open;Shrub and tree;Yes;Fan-tailed and Pallid Cuckoo;1870000;NA;NA;Resident
347;Budgerigar;Melopsittacus undulatus;NA;Forest - Subtropical/Tropical Dry & Savanna - Dry;Granivore;Ground;Cavity;Tree;NA;;7160000;NA;NA;Resident
348;Lincoln's Sparrow;Melospiza lincolnii;NA;Shrubland - Boreal & Shrubland - Temperate & Grassland - Temperate;Omnivorous;Ground and Shrub;Open;Ground and Shrub;Yes;Brown-headed Cowbird;8130000;NA;NA;Migratory
349;Song Sparrow;Melospiza melodia;NA;Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc & Marine Intertidal - Salt Marshes (Emergent Grasses);Omnivorous;Ground and Shrub;Open;Ground and Shrub;Yes;Brown-headed cowbird;24000000;2800;NA;Migratory
350;European Bee-eater;Merops apiaster;NA;Forest - Temperate & Shrubland - Temperate;Insectivorous;Air;Cavity;Ground;No;;12800000;2400;NA;Migratory
351;Rosy Bee-eater;Merops malimbicus;NA;Forest - Subtropical/Tropical Moist Lowland & Savanna - Dry;Insectivorous;Air;Cavity;Ground;No;;2610000;NA;NA;Migratory
352;Little Bee-eater;Merops pusillus;NA;Forest - Subtropical/Tropical Moist Lowland & Savanna - Dry;Insectivorous;Air;Cavity;Ground;No;;22000000;NA;NA;Resident
353;Brown-eared Bulbul ;Hypsipetes amaurotis;Microscelis;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;NA;Open;Shrub and tree;NA;;NA;NA;NA;NA
354;Black Kite;Milvus migrans;NA;Forest - Temperate & Savanna - Dry & Desert - Hot;Omnivorous;Ground / Water;Open;Tree;;;159000000;4900;0;Migratory
355;Flappet Lark;Mirafra rufocinnamomea;NA;Savanna - Dry & Shrubland - Subtropical/Tropical Dry;Omnivorous;Ground;Closed;Ground;NA;;18800000;NA;NA;Resident
356;Brown-headed Cowbird;Molothrus ater;NA;Forest - Temperate;Omnivorous;Ground;NA;NA;Yes;Paratize 220 known species;15500000;2000;NA;Migratory
357;African Dusky Flycatcher;Muscicapa adusta;NA;Forest - Subtropical/Tropical Dry & Savanna - Dry;Omnivorous;Ground, shrub and tree;Open;Shrub and tree;Yes;Klaas's Red-chested, Jacoin Cuckoo and Green-backed Honeyguide;13700000;3400;NA;Resident
358;Spotted Flycatcher;Muscicapa striata;NA;Forest - Temperate & Shrubland - Temperate;Omnivorous;Ground, shrub and tree;Open;Shrub and tree;No;;19500000;2200;NA;Migratory
359;Short-crested Flycatcher;Myiarchus ferox;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Shrub and tree;Cavity;Shrub;Yes;Shiny cowbird;13600000;1000;NA;Resident
360;Russet-crowned Warbler;Myiothlypis coronata;NA;Forest - Subtropical/Tropical Moist Montane;Insectivorous;Shrub and tree;Closed;Ground and Shrub;NA;;NA;NA;NA;Resident
361;Flavescent warbler;Myiothlypis flaveola;Basileuterus flaveolus;Forest - Subtropical/Tropical Dry;Insectivorous;Ground and Shrub;Closed;Ground and Shrub;NA;;NA;NA;NA;NA
362;Buff-rumped Warbler;Myiothlypis leucophrys;Basileuterus fulvicauda;Forest - Subtropical/Tropical Moist Lowland & Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls);Insectivorous;Ground and Shrub;Closed;Ground;Yes;Shiny cowbird;NA;NA;NA;NA
363;Arnot's Chat;Myrmecocichla arnotti;NA;Savanna - Dry;Insectivorous;Ground, shrub and tree;Cavity;Tree;No;;4550000;1750;NA;Resident
364;Bronze Sunbird;Nectarinia kilimensis;NA;Forest - Subtropical/Tropical Moist Lowland & Savanna - Dry;Omnivorous;Shrub;Closed;Shrub and tree;Yes;Klaas's Cuckoo;4160000;2350;1000;Resident
365;Babbling Starling;Neocichla gutturalis;NA;Savanna - Dry;Omnivorous;Ground;Cavity;Tree;NA;;1660000;NA;NA;Resident
366;White-tailed Ant-thrush;Neocossyphus poensis;NA;Forest - Subtropical/Tropical Moist Lowland;Insectivorous;Ground and Shrub;NA;NA;NA;;6240000;1500;NA;Resident
367;Brown Boobook;Ninox scutulata;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Ground & Air;Cavity;Tree;NA;;15300000;1500;NA;Resident
368;Helmeted Guineafowl;Numida meleagris;NA;Forest - Subtropical/Tropical Dry & Savanna - Dry & Grassland - Temperate & Desert - Hot;Omnivorous;Ground and Shrub;Open;Ground;Yes;Parasitize Spur winged goose;24500000;3000;NA;Resident
369;White-throated antbird;Oneillornis salvini;Gymnopithys salvini;Forest - Subtropical/Tropical Moist Lowland;Insectivorous;Ground and Shrub;Cavity;Tree;NA;;NA;NA;NA;NA
370;Slender-billed Starling;Onychognathus tenuirostris;NA;Forest - Subtropical/Tropical Moist Montane & Rocky areas (eg. inland cliffs, mountain peaks);Omnivorous;Ground, shrub and tree;Open;Ground;NA;;2850000;4250;1200;Resident
371;African Golden Oriole;Oriolus auratus;NA;Forest - Subtropical/Tropical Moist Lowland & Savanna - Dry;Omnivorous;Ground and Tree;Open;Tree;Yes;Rarely by cuckoo;14300000;1850;NA;Migratory
372;Western Black-headed Oriole;Oriolus brachyrhynchus;NA;NA;Omnivorous;Shrub and tree;Open;Tree;NA;;NA;NA;NA;NA
373;Yellow-bellied Tit;Pardaliparus venustulus;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Shrub;Cavity;Shrub;NA;;NA;NA;NA;NA
374;Spotted Pardalote;Pardalotus punctatus;NA;Forest - Temperate &  Savanna - Dry;Omnivorous;Tree;Cavity;Ground;NA;;6910000;2000;NA;Resident
375;Striated Pardalote;Pardalotus striatus;NA;Forest - Temperate & Shrubland - Temperate;Omnivorous;Tree;Cavity;Ground and tree;NA;;9930000;2000;NA;Migratory
376;Northern Waterthrush;Parkesia noveboracensis;Seuirus;Forest - Temperate & Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls);Omnivorous;Ground;Cavity;Ground and tree;Yes;Brown-headed cowbird;NA;NA;NA;NA
377;Woodhouse's Antpecker;Parmoptila woodhousei;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Tree;Closed;Tree;NA;;3320000;NA;NA;Resident
378;Yellow-billed Cardinal;Paroaria capitata;NA;Shrubland - Subtropical/Tropical Moist;Omnivorous;Ground and Shrub;Open;Shrub and tree;NA;;2780000;500;NA;Resident
379;Red-cowled Cardinal;Paroaria dominicana;NA;Shrubland - Subtropical/Tropical Dry;Omnivorous;Ground;Open;Tree;NA;Few info on breeding.;1340000;1200;NA;Resident
380;Great Tit;Parus major;NA;Forest - Temperate;Omnivorous;Ground, shrub and tree;Cavity;Shrub and tree;NA;;89800000;4420;NA;Resident
381;House Sparrow;Passer domesticus;NA;Artificial/Terrestrial - Urban Areas;Omnivorous;Ground and Shrub;Cavity;Buildings and tree;No;;76600000;4500;NA;Resident
382;Savannah Sparrow;Passerculus sandwichensis;NA;Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands & Shrubland - Temperate;Omnivorous;Ground;Open;Ground;Yes;Brood parasite: Brown-headed Cowbird;13400000;4000;NA;Migratory
383;Red Fox-sparrow;Passerella iliaca;NA;Forest - Temperate;Omnivorous;Ground and Shrub;Open;Ground and Shrub;Yes;Rarely by Brown-headed Cowbird;3530000;NA;NA;Migratory
384;Coal Tit;Periparus ater;NA;Forest - Temperate & Forest - Boreal;Omnivorous;Ground and Tree;Cavity;Tree;No;;52500000;4570;NA;Migratory
385;Cliff Swallow;Petrochelidon pyrrhonota;NA;Forest - Temperate & Grassland - Temperate;Insectivorous;Air;Cavity;Cliff;No;;4160000;3000;NA;Migratory
386;White-whiskered Hermit;Phaethornis yaruqui;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;NA;Closed;NA;NA;;252000;2000;NA;Resident
387;Great Cormorant;Phalacrocorax carbo;NA;Forest - Subtropical/Tropical Moist Lowland & Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes & Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands & Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) & Marine Neritic - Subtidal Rock and Rocky Reefs;Piscivore;Water;Open;Ground, shrub, tree and cliff;NA;;304000000;NA;NA;Migratory
388;Moustached Wren;Pheugopedius genibarbis;NA;Forest - Subtropical/Tropical Moist Lowland;NA;Shrub;Closed;NA;NA;;8860000;1600;NA;Resident
389;South Island Saddleback;Philesturnus carunculatus;NA;Forest - Temperate;Omnivorous;Ground, shrub and tree;Cavity;Tree;No;;84200;600;0;Resident
390;Black-spotted Bare-eye;Phlegopsis nigromaculata;NA;Forest - Subtropical/Tropical Moist Lowland & Forest - Subtropical/Tropical Swamp;Insectivorous;Ground and Shrub;Cavity;Tree;NA;;6080000;900;NA;Resident
391;Common Redstart;Phoenicurus phoenicurus;NA;Forest - Subtropical/Tropical Dry & Shrubland - Subtropical/Tropical Dry;Omnivorous;Ground, shrub and tree;Cavity;Tree;Yes;Common cuckoo;19700000;2900;NA;Migratory
392;Patagonian Sierra-finch;Phrygilus patagonicus;NA;Forest - Temperate & Shrubland - Temperate;Omnivorous;Ground, shrub and tree;Open;Ground, shrub and tree;NA;;1210000;1800;NA;Migratory
393;Grey-olive Greenbul;Phyllastrephus cerviniventris;NA;Shrubland - Subtropical/Tropical Moist;Omnivorous;Ground and Shrub;Open;NA;NA;;2500000;NA;NA;Resident
394;Yellow-streaked Greenbul;Phyllastrephus flavostriatus;NA;Forest - Subtropical/Tropical Moist Montane;Omnivorous;Shrub and tree;Open;Shrub;No;;3420000;3000;NA;Resident
395;Icterine Greenbul;Phyllastrephus icterinus;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Shrub and tree;Open;Shrub and tree;No;;3160000;NA;NA;Resident
396;Arctic Warbler;Phylloscopus borealis;NA;Shrubland - Boreal;Insectivorous;Shrub and tree;Open;Ground and Cavity;No;;8280000;2500;NA;Migratory
397;Common Chiffchaff;Phylloscopus collybita;NA;Forest - Temperate & Forest - Boreal;Insectivorous;Ground, shrub and tree;Open;Ground and Shrub;No;;15300000;3300;NA;Migratory
398;Hume's Leaf-warbler;Phylloscopus humei;NA;Forest - Temperate;Insectivorous;Ground, shrub and tree;Closed;Ground and Cavity;Yes;Lesser Cuckoo;4710000;3980;2000;Migratory
399;Iberian Chiffchaff;Phylloscopus ibericus;Phylloscopus brehmi;Forest - Subtropical/Tropical Dry & Shrubland - Mediterranean-type Shrubby Vegetation;NA;NA;NA;NA;NA;;NA;NA;NA;NA
400;Western Crowned Leaf-warbler;Phylloscopus occipitalis;NA;Forest - Temperate & Forest - Subtropical/Tropical Moist Lowland;Insectivorous;Shrub and tree;Cavity;Buildings and tree;Yes;Oriental and Lesser Cuckoos;486000;3200;2100;Migratory
401;Grey-cheeked Warbler;Phylloscopus poliogenys;Seicercus poliogenys;Forest - Temperate;Insectivorous;Shrub;Closed;Ground;NA;Poorly  known;NA;NA;NA;NA
